Losses:
Train loss batch: 54.202, Val. loss batch: 437.721
Train loss batch: 44.942, Val. loss batch: 42.659
Train loss batch: 38.289, Val. loss batch: 27.634
Train loss batch: 37.685, Val. loss batch: 27.093
Train loss batch: 35.079, Val. loss batch: 25.256
Train loss epoch: 42.039, Val. loss epoch: 25.394
Train loss batch: 33.768, Val. loss batch: 29.193
Train loss batch: 34.692, Val. loss batch: 23.094
Train loss batch: 33.217, Val. loss batch: 23.895
Train loss batch: 30.943, Val. loss batch: 23.840
Train loss batch: 31.987, Val. loss batch: 30.483
Train loss epoch: 32.921, Val. loss epoch: 30.417
Continue:
Train loss batch: 29.877, Val. loss batch: 25.370
Train loss batch: 31.325, Val. loss batch: 23.704
Train loss batch: 30.872, Val. loss batch: 34.008
Train loss batch: 31.762, Val. loss batch: 37.866
Train loss batch: 29.442, Val. loss batch: 22.164
Train loss epoch: 30.656, Val. loss epoch: 22.075
Train loss batch: 30.202, Val. loss batch: 67.634
Train loss batch: 30.615, Val. loss batch: 119.650
Train loss batch: 27.350, Val. loss batch: 24.124
Train loss batch: 28.492, Val. loss batch: 23.313
Train loss batch: 29.410, Val. loss batch: 31.040
Train loss epoch: 29.214, Val. loss epoch: 31.287
Continue:
Train loss batch: 28.845, Val. loss batch: 22.635
Train loss batch: 30.645, Val. loss batch: 20.550
Train loss batch: 27.955, Val. loss batch: 40.684
Train loss batch: 28.576, Val. loss batch: 24.306
Train loss batch: 27.098, Val. loss batch: 22.297
Train loss epoch: 28.624, Val. loss epoch: 22.480
Continue:
Train loss batch: 30.673, Val. loss batch: 112.969
Train loss batch: 27.658, Val. loss batch: 30.096
Train loss batch: 26.364, Val. loss batch: 23.376
Train loss batch: 29.524, Val. loss batch: 27.688
Train loss batch: 24.934, Val. loss batch: 41.452
Train loss epoch: 27.831, Val. loss epoch: 41.427
Train loss batch: 26.088, Val. loss batch: 25.437
Train loss batch: 27.518, Val. loss batch: 33.165
Train loss batch: 29.345, Val. loss batch: 177.536
Train loss batch: 25.813, Val. loss batch: 24.931
Train loss batch: 26.289, Val. loss batch: 22.831
Train loss epoch: 27.011, Val. loss epoch: 22.880
Train loss batch: 26.732, Val. loss batch: 25.545
Train loss batch: 27.603, Val. loss batch: 21.721
Train loss batch: 26.004, Val. loss batch: 53.806
Train loss batch: 25.599, Val. loss batch: 27.616
Train loss batch: 25.738, Val. loss batch: 26.982
Train loss epoch: 26.335, Val. loss epoch: 27.168
Train loss batch: 26.695, Val. loss batch: 91.749
Train loss batch: 24.579, Val. loss batch: 32.680
Train loss batch: 25.477, Val. loss batch: 23.685
Train loss batch: 24.092, Val. loss batch: 26.866
Train loss batch: 26.825, Val. loss batch: 28.269
Train loss epoch: 25.534, Val. loss epoch: 28.168
Train loss batch: 24.697, Val. loss batch: 30.064
Train loss batch: 25.831, Val. loss batch: 25.351
Train loss batch: 25.210, Val. loss batch: 22.609
Train loss batch: 24.560, Val. loss batch: 37.520
Train loss batch: 27.628, Val. loss batch: 20.351
Train loss epoch: 25.585, Val. loss epoch: 20.359
Train loss batch: 25.426, Val. loss batch: 20.695
Train loss batch: 25.373, Val. loss batch: 26.720
Train loss batch: 24.387, Val. loss batch: 22.458
Train loss batch: 23.419, Val. loss batch: 20.271
Train loss batch: 22.559, Val. loss batch: 22.395
Train loss epoch: 24.233, Val. loss epoch: 22.207
Train loss batch: 22.976, Val. loss batch: 185.167
Train loss batch: 24.054, Val. loss batch: 24.195
Train loss batch: 23.653, Val. loss batch: 195.939
Train loss batch: 23.684, Val. loss batch: 95.601
Train loss batch: 23.889, Val. loss batch: 22.435
Train loss epoch: 23.651, Val. loss epoch: 22.352
Train loss batch: 22.344, Val. loss batch: 22.212
Train loss batch: 23.687, Val. loss batch: 29.964
Train loss batch: 23.928, Val. loss batch: 25.147
Train loss batch: 23.739, Val. loss batch: 21.405
Train loss batch: 23.261, Val. loss batch: 27.494
Train loss epoch: 23.392, Val. loss epoch: 27.565
Train loss batch: 21.958, Val. loss batch: 30.828
Train loss batch: 23.230, Val. loss batch: 27.371
Train loss batch: 22.682, Val. loss batch: 20.778
Train loss batch: 21.577, Val. loss batch: 21.390
Train loss batch: 22.206, Val. loss batch: 20.803
Train loss epoch: 22.331, Val. loss epoch: 20.759
Train loss batch: 22.517, Val. loss batch: 42.305
Train loss batch: 23.195, Val. loss batch: 32.183
Train loss batch: 21.681, Val. loss batch: 26.344
Train loss batch: 21.747, Val. loss batch: 22.379
Train loss batch: 22.887, Val. loss batch: 27.303
Train loss epoch: 22.405, Val. loss epoch: 27.319
Continue:
Train loss batch: 23.080, Val. loss batch: 30.698
Train loss batch: 21.684, Val. loss batch: 48.493
Train loss batch: 22.171, Val. loss batch: 21.310
Train loss batch: 22.511, Val. loss batch: 36.748
