Losses:Train loss batch: 44.443, Val. loss batch: 27.486
Train loss batch: 38.471, Val. loss batch: 36.924
Train loss batch: 37.342, Val. loss batch: 26.156
Train loss batch: 33.472, Val. loss batch: 23.184
Train loss batch: 32.778, Val. loss batch: 30.400
Train loss epoch: 37.301, Val. loss epoch: 30.303
Train loss batch: 34.769, Val. loss batch: 24.174
Train loss batch: 32.717, Val. loss batch: 24.010
Train loss batch: 28.691, Val. loss batch: 35.121
Train loss batch: 31.388, Val. loss batch: 44.008
Train loss batch: 31.867, Val. loss batch: 29.226
Train loss epoch: 31.886, Val. loss epoch: 29.323
Train loss batch: 30.505, Val. loss batch: 28.497
Train loss batch: 32.746, Val. loss batch: 30.775
Train loss batch: 31.164, Val. loss batch: 31.831
Train loss batch: 29.017, Val. loss batch: 25.799
Train loss batch: 31.133, Val. loss batch: 24.411
Train loss epoch: 30.913, Val. loss epoch: 24.500
Train loss batch: 27.163, Val. loss batch: 25.301
Train loss batch: 30.384, Val. loss batch: 37.984
Train loss batch: 29.090, Val. loss batch: 26.891
Train loss batch: 29.687, Val. loss batch: 28.195
Train loss batch: 27.086, Val. loss batch: 76.665
Train loss epoch: 28.682, Val. loss epoch: 76.944
Train loss batch: 27.766, Val. loss batch: 47.692
Train loss batch: 29.598, Val. loss batch: 54.865
Train loss batch: 29.792, Val. loss batch: 23.508
Train loss batch: 26.525, Val. loss batch: 25.620
Train loss batch: 27.203, Val. loss batch: 52.927
Train loss epoch: 28.177, Val. loss epoch: 52.706
Train loss batch: 26.209, Val. loss batch: 20.332
Train loss batch: 26.290, Val. loss batch: 21.471
Train loss batch: 27.012, Val. loss batch: 21.027
Train loss batch: 25.756, Val. loss batch: 27.925
Train loss batch: 26.168, Val. loss batch: 173.827
Train loss epoch: 26.287, Val. loss epoch: 173.930
Train loss batch: 27.262, Val. loss batch: 21.716
Train loss batch: 24.916, Val. loss batch: 60.748
Train loss batch: 23.812, Val. loss batch: 23.198
Train loss batch: 27.409, Val. loss batch: 23.617
Train loss batch: 27.610, Val. loss batch: 75.452
Train loss epoch: 26.202, Val. loss epoch: 75.040
Train loss batch: 24.627, Val. loss batch: 32.455
Train loss batch: 26.386, Val. loss batch: 30.486
Train loss batch: 24.537, Val. loss batch: 21.317
Train loss batch: 24.983, Val. loss batch: 23.603
Train loss batch: 25.279, Val. loss batch: 90.954
Train loss epoch: 25.162, Val. loss epoch: 90.688
Train loss batch: 26.651, Val. loss batch: 23.929
Train loss batch: 24.362, Val. loss batch: 24.255
Train loss batch: 22.850, Val. loss batch: 22.698
Train loss batch: 25.174, Val. loss batch: 23.819
Train loss batch: 26.034, Val. loss batch: 23.495
Train loss epoch: 25.014, Val. loss epoch: 23.453
Train loss batch: 24.341, Val. loss batch: 24.815
Train loss batch: 23.304, Val. loss batch: 19.077
Train loss batch: 24.909, Val. loss batch: 30.475
Train loss batch: 24.179, Val. loss batch: 22.490
Train loss batch: 23.912, Val. loss batch: 20.273
Train loss epoch: 24.129, Val. loss epoch: 20.258
Continue:
Train loss batch: 25.706, Val. loss batch: 30.147
Train loss batch: 22.595, Val. loss batch: 22.860
Train loss batch: 23.020, Val. loss batch: 22.586
Train loss batch: 24.047, Val. loss batch: 24.336
Train loss batch: 25.229, Val. loss batch: 26.149
Train loss epoch: 24.119, Val. loss epoch: 26.208
Train loss batch: 24.374, Val. loss batch: 21.260
Train loss batch: 23.416, Val. loss batch: 20.292
Train loss batch: 21.711, Val. loss batch: 23.807
Train loss batch: 23.001, Val. loss batch: 22.547
Train loss batch: 24.689, Val. loss batch: 199.532
Train loss epoch: 23.438, Val. loss epoch: 201.606
Train loss batch: 24.867, Val. loss batch: 20.443
Train loss batch: 24.430, Val. loss batch: 21.868
Train loss batch: 23.315, Val. loss batch: 26.247
Train loss batch: 23.235, Val. loss batch: 21.748
Train loss batch: 23.202, Val. loss batch: 21.948
Train loss epoch: 23.810, Val. loss epoch: 22.192
Train loss batch: 22.025, Val. loss batch: 19.749
Train loss batch: 24.660, Val. loss batch: 46.612
Train loss batch: 22.742, Val. loss batch: 24.145
Train loss batch: 20.956, Val. loss batch: 39.880
Train loss batch: 22.231, Val. loss batch: 19.634
Train loss epoch: 22.523, Val. loss epoch: 19.799
Train loss batch: 23.035, Val. loss batch: 20.376
Train loss batch: 21.688, Val. loss batch: 28.418
Train loss batch: 23.399, Val. loss batch: 30.472
Train loss batch: 21.672, Val. loss batch: 22.989
Train loss batch: 20.894, Val. loss batch: 21.330
Train loss epoch: 22.138, Val. loss epoch: 20.954
Train loss batch: 20.826, Val. loss batch: 21.954
Train loss batch: 22.666, Val. loss batch: 24.915
Train loss batch: 21.825, Val. loss batch: 22.461
Train loss batch: 22.290, Val. loss batch: 23.311
Train loss batch: 21.128, Val. loss batch: 21.666
Train loss epoch: 21.747, Val. loss epoch: 21.453
Continue:
Train loss batch: 22.479, Val. loss batch: 33.619
Train loss batch: 20.895, Val. loss batch: 26.230
Train loss batch: 20.491, Val. loss batch: 21.053
Train loss batch: 22.247, Val. loss batch: 22.153
Train loss batch: 21.083, Val. loss batch: 25.732
Train loss epoch: 21.439, Val. loss epoch: 26.263
Train loss batch: 20.474, Val. loss batch: 19.201
Train loss batch: 20.539, Val. loss batch: 25.728
Train loss batch: 21.399, Val. loss batch: 35.706
