Losses:
Train loss batch: 49.222, Val. loss batch: 537.958
Train loss batch: 43.630, Val. loss batch: 34.530
Train loss batch: 40.000, Val. loss batch: 36.316
Train loss batch: 36.753, Val. loss batch: 23.787
Train loss batch: 37.021, Val. loss batch: 25.862
Train loss epoch: 41.325, Val. loss epoch: 25.853
Train loss batch: 31.255, Val. loss batch: 34.117
Train loss batch: 31.779, Val. loss batch: 25.174
Train loss batch: 34.002, Val. loss batch: 36.518
Train loss batch: 33.000, Val. loss batch: 28.742
Train loss batch: 32.007, Val. loss batch: 31.815
Train loss epoch: 32.409, Val. loss epoch: 32.040
Train loss batch: 31.688, Val. loss batch: 27.201
Train loss batch: 29.024, Val. loss batch: 23.885
Train loss batch: 30.341, Val. loss batch: 22.784
Train loss batch: 29.363, Val. loss batch: 24.335
Train loss batch: 33.027, Val. loss batch: 26.455
Train loss epoch: 30.689, Val. loss epoch: 26.573
Train loss batch: 29.967, Val. loss batch: 25.064
Train loss batch: 30.258, Val. loss batch: 33.935
Train loss batch: 28.822, Val. loss batch: 27.976
Train loss batch: 28.697, Val. loss batch: 28.751
Train loss batch: 29.090, Val. loss batch: 47.424
Train loss epoch: 29.367, Val. loss epoch: 47.547
Train loss batch: 26.414, Val. loss batch: 22.288
Train loss batch: 30.835, Val. loss batch: 72.671
Train loss batch: 29.042, Val. loss batch: 44.442
Train loss batch: 27.378, Val. loss batch: 34.698
Train loss batch: 29.093, Val. loss batch: 22.003
Train loss epoch: 28.553, Val. loss epoch: 21.971
Train loss batch: 25.742, Val. loss batch: 24.600
Train loss batch: 28.608, Val. loss batch: 21.111
Train loss batch: 28.642, Val. loss batch: 31.036
Train loss batch: 28.671, Val. loss batch: 23.112
Train loss batch: 26.504, Val. loss batch: 32.019
Train loss epoch: 27.633, Val. loss epoch: 32.123
Continue:Train loss batch: 27.126, Val. loss batch: 20.188
Train loss batch: 26.024, Val. loss batch: 20.598
Train loss batch: 24.257, Val. loss batch: 21.173
Train loss batch: 27.677, Val. loss batch: 146.678
