Losses:
Train loss batch: 2.290, Val. loss batch: 4.025
Train loss batch: 1.386, Val. loss batch: 1.489
Train loss batch: 1.127, Val. loss batch: 1.211
Train loss batch: 0.984, Val. loss batch: 1.132
Train loss batch: 0.931, Val. loss batch: 1.036
Train loss epoch: 1.344, Val. loss epoch: 1.039
Continue:
Continue:
Train loss batch: 0.958, Val. loss batch: 1.043
Train loss batch: 0.864, Val. loss batch: 0.931
Train loss batch: 0.782, Val. loss batch: 0.966
Train loss batch: 0.764, Val. loss batch: 0.878
Train loss batch: 0.771, Val. loss batch: 0.873
Train loss epoch: 0.828, Val. loss epoch: 0.872
Train loss batch: 0.761, Val. loss batch: 0.907
Train loss batch: 0.704, Val. loss batch: 0.907
Train loss batch: 0.688, Val. loss batch: 0.837
Train loss batch: 0.700, Val. loss batch: 0.790
Train loss batch: 0.690, Val. loss batch: 0.781
Train loss epoch: 0.709, Val. loss epoch: 0.779
Train loss batch: 0.657, Val. loss batch: 0.794
Train loss batch: 0.666, Val. loss batch: 0.800
Train loss batch: 0.637, Val. loss batch: 0.776
Train loss batch: 0.630, Val. loss batch: 0.755
Train loss batch: 0.641, Val. loss batch: 0.770
Train loss epoch: 0.646, Val. loss epoch: 0.769
Train loss batch: 0.651, Val. loss batch: 0.783
Train loss batch: 0.604, Val. loss batch: 0.777
Train loss batch: 0.613, Val. loss batch: 0.772
Train loss batch: 0.592, Val. loss batch: 0.728
Train loss batch: 0.608, Val. loss batch: 0.761
Train loss epoch: 0.614, Val. loss epoch: 0.758
Train loss batch: 0.574, Val. loss batch: 0.754
Train loss batch: 0.591, Val. loss batch: 0.776
Train loss batch: 0.572, Val. loss batch: 0.760
Train loss batch: 0.546, Val. loss batch: 0.719
Train loss batch: 0.578, Val. loss batch: 0.804
Train loss epoch: 0.572, Val. loss epoch: 0.798
Train loss batch: 0.547, Val. loss batch: 0.712
Train loss batch: 0.536, Val. loss batch: 0.736
Train loss batch: 0.541, Val. loss batch: 0.744
Train loss batch: 0.561, Val. loss batch: 0.691
Train loss batch: 0.557, Val. loss batch: 0.709
Train loss epoch: 0.549, Val. loss epoch: 0.707
Train loss batch: 0.527, Val. loss batch: 0.966
Train loss batch: 0.576, Val. loss batch: 0.817
Train loss batch: 0.526, Val. loss batch: 0.682
Train loss batch: 0.564, Val. loss batch: 0.778
Train loss batch: 0.553, Val. loss batch: 0.695
Train loss epoch: 0.549, Val. loss epoch: 0.695
Train loss batch: 0.498, Val. loss batch: 0.704
Train loss batch: 0.526, Val. loss batch: 0.728
Train loss batch: 0.502, Val. loss batch: 0.702
Train loss batch: 0.520, Val. loss batch: 0.661
Train loss batch: 0.527, Val. loss batch: 0.879
Train loss epoch: 0.515, Val. loss epoch: 0.876
Train loss batch: 0.518, Val. loss batch: 0.681
Train loss batch: 0.491, Val. loss batch: 0.674
Train loss batch: 0.501, Val. loss batch: 0.684
Train loss batch: 0.491, Val. loss batch: 0.632
Train loss batch: 0.472, Val. loss batch: 0.660
Train loss epoch: 0.495, Val. loss epoch: 0.657
